iteration	scoreB	scoreR
0	0	2
1	2	1
2	2	1
3	0	2
4	2	1
5	2	1
6	2	1
7	2	1
8	2	1
9	2	1
10	2	1
11	0	2
12	0	2
13	2	1
14	2	1
15	2	0
16	1	2
17	2	1
18	0	2
19	2	0
20	1	2
21	2	1
22	0	2
23	2	1
24	1	2
25	2	1
26	2	1
27	2	1
28	2	1
29	2	1
30	2	1
31	1	2
32	1	2
33	2	1
34	2	1
35	2	1
36	1	2
37	2	1
38	2	1
39	2	1
40	2	1
41	2	0
42	2	1
43	1	2
44	1	2
45	2	1
46	1	2
47	2	1
48	2	1
49	2	1
50	2	0
51	1	2
52	2	0
53	2	0
54	2	0
55	0	2
56	1	2
57	2	1
58	2	1
59	2	0
60	2	0
61	0	2
62	2	1
63	1	2
64	2	1
65	0	2
66	2	1
67	1	2
68	2	0
69	2	1
70	1	2
71	1	2
72	1	2
73	1	2
74	2	1
75	0	2
76	0	2
77	2	1
78	0	2
79	2	1
80	0	2
81	2	1
82	1	2
83	1	2
84	2	1
85	2	1
86	2	0
87	0	2
88	2	1
89	2	1
90	2	0
91	2	1
92	1	2
93	2	1
94	2	1
95	1	2
96	0	2
97	2	1
98	1	2
99	2	1
